"","capital_run_length_average","knn_pred1","knn_pred2","logm_pred1","logm_pred2"
"488",9.1,1,1,1,1
"489",2.955,1,1,1,1
"490",1.209,1,1,1,1
"491",4.493,1,1,1,1
"492",2.11753333333333,1,1,0,0
"493",2.106,0,0,1,1
"494",5.759,1,1,1,1
"495",2.04073333333333,0,0,0,0
"496",3.12693333333333,1,1,1,1
"497",2.257,1,1,1,1
"498",1.861,1,1,1,1
"499",2.60933333333333,1,1,1,1
"500",7.092,1,1,1,1
"501",6.15413333333333,1,1,1,1
"502",3.23,0,0,0,0
"503",4.163,1,1,1,1
"504",13.235,1,1,1,1
"505",3.554,1,1,1,1
"506",2.00486666666667,0,0,1,1
"507",2.417,0,0,0,0
"508",5.944,1,1,1,1
"509",6.641,1,1,1,1
"510",2.20586666666667,1,1,1,1
"511",8.192,1,1,1,1
"512",3.2734,1,1,1,1
"513",2.269,0,0,0,0
"514",2.33253333333333,1,1,0,0
"515",3.50053333333333,1,1,1,1
"516",2.3,0,0,1,1
"517",2.802,1,1,0,0
"518",2.666,0,0,0,0
"519",6.588,1,1,1,1
"520",1.083,1,1,1,1
"521",2.91753333333333,1,1,1,1
"522",4,1,1,1,1
"523",6.482,1,1,1,1
"524",2.875,1,1,1,1
"525",3.199,1,1,1,1
"526",2.9814,1,1,1,1
"527",11.312,1,1,1,1
"528",1.461,1,1,1,1
"529",2.512,1,1,1,1
"530",2.9644,0,0,0,0
"531",4.906,0,0,0,0
"532",31.388,1,1,1,1
"533",3.211,1,1,1,1
"534",3.94286666666667,1,1,1,1
"535",6.544,1,1,1,1
"536",4.53113333333333,0,0,1,1
"537",8.445,1,1,1,1
"538",1.94,1,1,1,1
"539",3.621,1,1,1,1
"540",8.0848,1,1,1,1
"541",3,1,1,1,1
"542",3.761,1,1,1,1
"543",2.516,1,1,1,1
"544",3.008,1,1,1,1
"545",2.6,0,0,1,1
"546",4.4508,1,1,1,1
"547",1,0,0,0,0
"548",1.625,0,0,0,0
"549",4.411,0,0,0,0
"550",2.5,0,0,0,0
"551",1,0,0,0,0
"552",2.324,0,0,0,0
"553",1.90106666666667,0,0,0,0
"554",2.215,1,1,0,0
"555",1.932,0,0,0,0
"556",1.909,0,0,0,0
"557",1,0,0,0,0
"558",1.689,0,0,0,0
"559",1.538,0,0,1,1
"560",2.4958,0,0,0,0
"561",3.125,0,0,0,0
"562",1.952,0,0,0,0
"563",2.03286666666667,0,0,0,0
"564",1.837,0,0,0,0
"565",1,0,0,0,0
"566",2.195,0,0,0,0
"567",2.838,0,0,0,0
"568",2.214,0,0,0,0
"569",4.771,0,0,0,0
"570",1.212,1,1,0,0
"571",1.90826666666667,0,0,0,0
"572",1.65913333333333,0,0,0,0
"573",1.416,0,0,0,0
"574",1.958,0,0,0,0
"575",1.687,0,0,0,0
"576",2.721,0,0,0,0
"577",2.2556,0,0,0,0
"578",1,1,1,0,0
"579",4,0,0,0,0
"580",1.5,0,0,0,0
"581",2.534,0,0,0,0
"582",1.89,0,0,0,0
"583",1.611,0,0,0,0
"584",1.945,1,1,1,1
"585",2.533,0,0,0,0
"586",7.588,1,1,1,1
"587",1.641,0,0,0,0
"588",2.025,0,0,0,0
"589",1,0,0,0,0
"590",2.165,0,0,0,0
"591",1.644,0,0,0,0
"592",1.353,0,0,0,0
"593",2.473,0,0,0,0
"594",2.266,0,0,0,0
"595",3.1,0,0,0,0
"596",1,0,0,0,0
"597",1.5,0,0,0,0
"598",3.875,0,0,0,0
"599",1.54946666666667,0,0,0,0
"600",2.142,0,0,0,0
"601",1.23,0,0,0,0
"602",2.562,1,1,1,1
"603",1.2,0,0,0,0
"604",1.466,0,0,0,0
"605",3.016,0,0,0,0
"606",1.755,0,0,0,0
"607",1.958,0,0,0,0
"608",1.6,0,0,0,0
"609",2,0,0,0,0
"610",4,0,0,0,0
"611",2.225,0,0,0,0
"612",3.10066666666667,1,1,1,1
"613",251,1,1,1,1
"614",3.338,0,0,0,0
"615",2.119,0,0,0,0
"616",1.25,0,0,0,0
"617",1.673,0,0,0,0
"618",1.42653333333333,0,0,0,0
"619",2.6886,0,0,0,0
"620",3.28,0,0,0,0
"621",2.80366666666667,0,0,0,0
"622",2.695,0,0,0,0
"623",1.75406666666667,0,0,0,0
"624",2.1,0,0,0,0
"625",2.51053333333333,1,1,0,0
"626",1,0,0,0,0
"627",2.61,0,0,0,0
"628",2.54073333333333,0,0,0,0
"629",1.625,0,0,0,0
"630",2.88706666666667,0,0,0,0
"631",1.75,0,0,0,0
"632",1.733,0,0,0,0
"633",1.465,0,0,1,1
"634",1.411,1,1,0,0
"635",1.461,0,0,0,0
"636",2.70893333333333,0,0,0,0
"637",1,0,0,1,1
"638",2.4858,0,0,0,0
"639",2.0238,0,0,0,0
"640",1.65353333333333,0,0,0,0
"641",3.039,0,0,0,0
"642",3.714,0,0,0,0
"643",4.333,0,0,0,0
"644",4.2126,1,1,0,0
"645",3.704,0,0,0,0
"646",3.15353333333333,0,0,0,0
"647",3.153,0,0,0,0
"648",2.941,0,0,0,0
"649",1.309,0,0,0,0
"650",2.891,0,0,0,0
"651",4.03,0,0,0,0
"652",1.607,0,0,0,0
"653",1.545,0,0,0,0
"654",4.413,0,0,0,0
"655",5.515,0,0,0,0
"656",1.666,0,0,0,0
"657",2.526,0,0,0,0
"658",2.318,0,0,0,0
"659",2.658,0,0,0,0
"660",1.268,0,0,0,0
"661",1.394,0,0,0,0
"662",1.48,0,0,0,0
"663",3.36786666666667,1,1,0,0
"664",1.807,0,0,0,0
"665",2.76166666666667,0,0,0,0
"666",2.20553333333333,0,0,0,0
"667",1.947,0,0,0,0
"668",1.664,0,0,0,0
"669",2.776,0,0,0,0
"670",1.837,0,0,0,0
"671",2.05126666666667,0,0,0,0
"672",1.65913333333333,0,0,0,0
"673",1.666,0,0,0,0
"674",1.333,0,0,0,0
"675",3.973,0,0,0,0
"676",1.2222,0,0,0,0
"677",1.285,0,0,0,0
"678",2.688,0,0,0,0
"679",3.153,0,0,0,0
"680",2.421,0,0,0,0
"681",2.142,0,0,0,0
"682",2.2,0,0,0,0
"683",2.25,0,0,0,0
"684",2.10653333333333,0,0,0,0
"685",3.041,0,0,0,0
"686",2.8148,0,0,1,1
"687",2.28,0,0,0,0
"688",2.17813333333333,0,0,0,0
"689",2.41073333333333,0,0,0,0
"690",2.04646666666667,0,0,0,0
"691",3.478,0,0,0,0
"692",1.842,0,0,0,0
"693",2.217,0,0,0,0
"694",3.333,0,0,0,0
"695",2.95,0,0,0,0
"696",1,0,0,0,0
"697",1.5,0,0,0,0
"698",3.552,0,0,0,0
"699",5.888,0,0,1,1
"700",1.482,0,0,0,0
"701",1.8846,0,0,0,0
"702",2.13513333333333,0,0,0,0
"703",1.3,0,0,1,1
"704",2.35,0,0,0,0
"705",1.136,0,0,0,0
"706",3.066,0,0,0,0
"707",1.8312,0,0,0,0
"708",2.595,0,0,0,0
"709",1.884,0,0,1,1
"710",1.341,1,1,0,0
"711",2.414,0,0,0,0
"712",2.36,0,0,0,0
"713",3.302,0,0,0,0
"714",2.829,0,0,0,0
"715",1.409,0,0,0,0
"716",1.8,0,0,0,0
"717",1.827,0,0,0,0
"718",1.19253333333333,0,0,0,0
"719",2.36066666666667,0,0,0,0
"720",1.5,0,0,0,0
"721",1.8,0,0,0,0
"722",1.375,0,0,0,0
"723",2.068,0,0,0,0
"724",1.529,0,0,0,0
"725",2.062,0,0,0,0
"726",1.24,0,0,0,0
"727",1.632,0,0,0,0
"728",1.6,0,0,0,0
"729",2.10966666666667,0,0,0,0
"730",2.032,0,0,0,0
"731",2.454,0,0,0,0
"732",2.31,0,0,0,0
"733",1.969,1,1,0,0
"734",2.9,0,0,0,0
"735",1.3,0,0,0,0
"736",2,0,0,0,0
"737",2.41206666666667,0,0,0,0
"738",1.63213333333333,0,0,0,0
"739",2.236,0,0,0,0
"740",2.277,0,0,0,0
"741",4.666,0,0,0,0
"742",4.242,0,0,0,0
"743",4.393,0,0,0,0
"744",2.125,0,0,0,0
"745",2,0,0,0,0
"746",3.574,0,0,0,0
"747",1.41,0,0,0,0
"748",1.5,0,0,0,0
"749",4.533,0,0,0,0
"750",1.285,0,0,0,0
"751",1.285,0,0,0,0
"752",5.857,0,0,0,0
"753",2.297,0,0,0,0
"754",1,0,0,0,0
"755",1.428,0,0,0,0
"756",1.625,0,0,0,0
"757",1.6,0,0,0,0
"758",1.894,0,0,0,0
"759",1.613,0,0,0,0
"760",1,0,0,1,1
"761",1.287,0,0,0,0
"762",2.325,0,0,0,0
"763",2.147,0,0,0,0
"764",2.9258,1,1,1,1
"765",3.657,0,0,0,0
"766",2.19513333333333,1,1,0,0
"767",2.36846666666667,0,0,0,0
"768",1.79,1,1,1,1
"769",1.88,0,0,0,0
"770",2.085,0,0,0,0
"771",3.74,0,0,0,0
"772",1,0,0,0,0
"773",2,0,0,0,0
"774",2.396,0,0,0,0
"775",1.533,0,0,0,0
"776",1,0,0,0,0
"777",2.617,0,0,0,0
"778",1,0,0,0,0
"779",1,0,0,0,0
"780",3.083,0,0,0,0
"781",4.36,0,0,0,0
"782",2.016,0,0,0,0
"783",2.07053333333333,0,0,0,0
"784",1.45,0,0,0,0
"785",4.586,0,0,0,0
"786",1.476,0,0,0,0
"787",1,0,0,0,0
"788",1,0,0,0,0
"789",2.52146666666667,0,0,0,0
"790",1.769,0,0,0,0
"791",2,0,0,1,1
"792",1.7758,0,0,0,0
"793",2,0,0,0,0
"794",2.892,1,1,1,1
"795",2.145,0,0,0,0
"796",1.95473333333333,0,0,0,0
"797",1.84,0,0,0,0
"798",1,0,0,1,1
"799",1.903,0,0,0,0
"800",3.333,0,0,0,0
"801",2.705,0,0,0,0
"802",3.425,0,0,0,0
"803",1.83,0,0,0,0
"804",1.679,0,0,0,0
"805",1.955,0,0,0,0
"806",1.535,0,0,0,0
"807",1.344,0,0,0,0
"808",3.461,0,0,0,0
"809",3.30873333333333,0,0,0,0
"810",2.345,0,0,0,0
"811",3.25,0,0,0,0
"812",1.904,0,0,0,0
"813",1.352,0,0,0,0
"814",1.428,0,0,0,0
"815",2.9162,0,0,0,0
"816",1.813,0,0,0,0
"817",3.222,0,0,0,0
"818",1.181,0,0,1,1
"819",1.727,1,1,1,1
"820",1.923,0,0,0,0
"821",2.0756,0,0,0,0
"822",1.233,0,0,0,0
"823",1.6,0,0,1,1
"824",3.25,0,0,0,0
"825",1.294,0,0,0,0
"826",1.375,0,0,0,0
"827",1.902,0,0,0,0
"828",1.348,1,1,1,1
"829",1.56433333333333,0,0,0,0
"830",1,0,0,0,0
"831",2,0,0,0,0
"832",4.341,0,0,0,0
"833",1.545,0,0,0,0
"834",1.166,1,1,0,0
"835",2.2492,0,0,0,0
"836",1.483,0,0,0,0
"837",4.208,0,0,0,0
"838",1.792,0,0,0,0
"839",1.851,0,0,0,0
"840",1.34,0,0,0,0
"841",1.65913333333333,0,0,0,0
"842",1.607,0,0,0,0
"843",1.655,0,0,0,0
"844",1,1,1,0,0
"845",2.941,0,0,0,0
"846",1,0,0,0,0
"847",2.571,0,0,1,1
"848",1.555,0,0,0,0
"849",2.1428,0,0,0,0
"850",5.888,0,0,1,1
"851",1.464,0,0,0,0
"852",2.275,0,0,0,0
"853",4.382,0,0,0,0
"854",1.87,1,1,0,0
"855",1.56506666666667,0,0,0,0
"856",2.333,0,0,0,0
"857",2.224,0,0,0,0
"858",1.646,0,0,0,0
"859",2.11273333333333,0,0,0,0
"860",18,0,0,0,0
"861",2.161,1,1,1,1
"862",1.291,0,0,0,0
"863",2.35026666666667,0,0,0,0
"864",1.403,0,0,0,0
"865",1.269,0,0,0,0
"866",1.428,0,0,0,0
"867",1.71266666666667,0,0,0,0
"868",2.95,0,0,0,0
"869",1.468,0,0,0,0
"870",1.487,0,0,0,0
"871",1.718,0,0,0,0
"872",2.222,0,0,0,0
"873",1.764,0,0,0,0
"874",1,0,0,0,0
"875",1,0,0,0,0
"876",1,0,0,0,0
"877",2.468,0,0,0,0
"878",1.681,0,0,0,0
"879",1.535,0,0,0,0
"880",2.02246666666667,0,0,0,0
"881",2.238,0,0,0,0
"882",2.313,0,0,0,0
"883",1.619,0,0,0,0
"884",2.272,0,0,0,0
"885",1.732,0,0,0,0
"886",1,0,0,0,0
"887",1.45,0,0,0,0
"888",2.556,0,0,0,0
"889",2.6458,0,0,0,0
"890",1.78993333333333,0,0,0,0
"891",1,0,0,0,0
"892",4.434,0,0,0,0
"893",2,0,0,1,1
"894",1.67513333333333,0,0,0,0
"895",1.843,0,0,0,0
"896",3.151,0,0,0,0
"897",3,1,1,0,0
"898",20,1,1,1,1
"899",2.533,0,0,0,0
"900",1.647,0,0,0,0
"901",1.94166666666667,0,0,0,0
