Date,Location,MaxTemp,MinTemp,Rainfall,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm
2013-10-24,Albury,16.5,7.9,0.4,26,22,62,37,1017.6,1019.2
2013-10-25,Albury,17.5,2.1,0,7,26,64,45,1025.5,1022.8
2013-10-26,Albury,19.7,5,0,11,19,61,46,1024.2,1022.3
2013-10-27,Albury,21.3,5.3,0,6,13,68,36,1023.8,1020.6
2013-10-28,Albury,24.6,10.6,0,9,17,65,50,1017.8,1012.1
2013-10-29,Albury,22.6,9.4,0,24,17,54,48,1009.6,1011.3
2013-10-30,Albury,23.5,6,0,9,11,61,34,1020.4,1017.9
2013-10-31,Albury,25.2,6.3,0,4,19,70,28,1021,1018.8
2013-11-01,Albury,27.9,7.6,0,7,9,69,24,1022.2,1018.1
2013-11-02,Albury,27.9,8.6,0,6,11,65,45,1017.8,1015
2013-11-03,Albury,21.1,10.1,0,30,35,67,34,1013.1,1016
2013-11-04,Albury,20.3,3.1,0,13,15,46,33,1026,1024.6
2013-11-05,Albury,25.6,6.3,0,7,9,58,18,1027.9,1023.3
2013-11-06,Albury,29.6,6.9,0,7,13,58,13,1021.7,1016.1
2013-11-07,Albury,34.3,8.9,0,4,4,48,22,1014.9,1009.4
2013-11-08,Albury,30.9,17.7,0,2,30,62,23,1006.4,1002.9
2013-11-09,Albury,21.9,9.3,0,22,26,62,35,1012,1011.9
2013-11-10,Albury,21.3,10.5,0,20,24,52,50,1018,1015.8
2013-11-11,Albury,17.1,10.6,5.8,17,26,57,61,1020.7,1019
2013-11-12,Albury,18.6,12.1,4.4,11,26,75,65,1015,1011.4
2013-11-13,Albury,17.2,10.1,0.4,13,22,86,55,1015.7,1015.1
2013-11-14,Albury,21.5,8.2,0,9,15,69,48,1016.4,1014.9
2013-11-15,Albury,25.1,5.1,0,7,11,69,34,1016.5,1013.8
2013-11-16,Albury,26,12.4,0,20,11,55,32,1016,1012.7
2013-11-17,Albury,27.2,9.1,0,9,13,61,35,1017.6,1013.9
2013-11-18,Albury,28.4,9.5,0,4,15,58,33,1016.2,1011.8
2013-11-19,Albury,31.1,10.2,0,6,7,55,24,1013.4,1008.5
2013-11-20,Albury,33.7,11.3,0,7,13,57,14,1009.9,1005.9
2013-11-21,Albury,27.2,16.8,0,2,11,63,50,1010.3,1007.7
2013-11-22,Albury,27.1,10.6,0,7,22,54,21,1007.6,1005.4
2013-11-23,Albury,23.7,8.1,0,7,17,54,36,1006.9,1004.2
2013-11-24,Albury,26.1,8.6,0,9,19,58,29,1008.1,1005.7
2013-11-25,Albury,26.7,11.5,0,24,24,50,30,1010.7,1009.3
2013-11-26,Albury,29.7,8.2,0,4,17,49,25,1016.7,1012.8
2013-11-27,Albury,32.6,10.5,0,9,15,58,22,1016.5,1012.6
2013-11-28,Albury,35.4,14.2,0,7,33,56,13,1008.3,1002.8
2013-11-29,Albury,25.6,13.1,0,17,17,37,27,1008.6,1008.6
2013-11-30,Albury,27.5,9,0,17,7,41,16,1018.9,1017.1
2013-12-01,Albury,30.4,9.9,0,20,13,46,23,1022.9,1019.8
2013-12-02,Albury,34.4,15.6,0,13,11,38,19,1020.4,1015.2
2013-12-03,Albury,37.1,15.1,0,9,30,47,15,1013.9,1009.3
2013-12-04,Albury,23.7,21.5,0,9,7,62,93,1004,1002.3
2013-12-05,Albury,17.5,10.1,29.4,20,28,90,60,1000.8,1001.3
2013-12-06,Albury,20.4,5.8,3.2,11,22,62,32,1015.4,1015.9
2013-12-07,Albury,26.1,7.7,0,7,13,63,28,1020.9,1018.3
2013-12-08,Albury,32.1,10.2,0,9,13,55,20,1016.7,1011.3
2013-12-09,Albury,30.4,18.1,0,6,22,56,31,1006.2,1001.4
2013-12-10,Albury,22.4,12.1,0,19,30,60,35,1008.7,1008.1
2013-12-11,Albury,24.5,10.9,0,20,19,43,33,1010,1008.8
2013-12-12,Albury,27.6,9.9,0,2,24,55,22,1012.6,1009.8
2013-12-13,Albury,30.2,11.2,0,6,22,47,29,1012.9,1010.5
2013-12-14,Albury,29.5,14.4,0,6,19,56,19,1014.9,1013.2
2013-12-15,Albury,31.1,12.8,0,13,11,48,31,1018,1014.7
2013-12-16,Albury,32.9,15.8,0,7,7,51,28,1018.1,1015.1
2013-12-17,Albury,34,16.9,0,7,9,54,29,1019.5,1016.3
2013-12-18,Albury,37.6,18.8,0,15,13,41,17,1020.2,1016.2
2013-12-19,Albury,39.7,19.2,0,20,11,34,17,1018.3,1013.5
2013-12-20,Albury,40.7,22.2,0.2,7,17,45,14,1015.1,1009.9
2013-12-21,Albury,40.5,23.7,0,19,33,40,12,1012,1008
2013-12-22,Albury,36.4,25.2,0,15,22,36,22,1007.7,1006.6
2013-12-23,Albury,23.9,18.3,5.2,20,19,93,68,1010.7,1011
2013-12-24,Albury,29.1,11.6,13,6,9,75,24,1017.8,1015.2
2013-12-25,Albury,29.1,15.7,0,2,9,64,44,1016,1013.3
2013-12-26,Albury,30.8,14.9,0,7,11,61,28,1013.4,1008.7
2013-12-27,Albury,32.5,14,1.4,7,7,57,25,1011.1,1007.7
2013-12-28,Albury,37.1,14.4,0,6,15,57,18,1008.3,1003.7
2013-12-29,Albury,30.9,16.1,0,15,13,27,14,1011.8,1010.6
2013-12-30,Albury,30.9,11.7,0,11,9,50,18,1014,1010.4
2013-12-31,Albury,31.4,10.4,0,7,22,43,14,1013.3,1011.5
2014-01-01,Albury,27.4,12,0,11,20,56,38,1011.1,1008.6
2014-01-02,Albury,27.7,16.7,0,6,20,61,22,1006.1,1005.8
2014-01-03,Albury,30.6,18.9,0.2,6,15,40,32,1003.1,999.1
2014-01-04,Albury,25.6,13.1,0,24,19,46,28,1006.8,1005.7
2014-01-05,Albury,29.4,8.4,0,6,30,50,24,1009.4,1004.5
2014-01-06,Albury,23.7,12.1,0,28,24,42,27,1013.2,1013.4
2014-01-07,Albury,27.5,9.8,0,17,13,43,23,1019.5,1016.4
2014-01-08,Albury,30.4,14.2,0,20,11,42,26,1021,1017.1
2014-01-09,Albury,29,16.9,0,17,15,48,38,1020.8,1019.1
2014-01-10,Albury,33.6,14.4,1.4,0,13,54,27,1020.5,1016.6
2014-01-11,Albury,36.5,16.5,0,7,13,55,26,1018.6,1014.9
2014-01-12,Albury,38.9,18.8,0,15,7,37,13,1016.4,1013.1
2014-01-13,Albury,39,17.1,0,11,7,46,17,1017.6,1013.8
2014-01-14,Albury,41.2,18.6,0,7,9,44,19,1018.3,1014.5
2014-01-15,Albury,41.8,21,0,7,11,47,15,1019.4,1015.1
2014-01-16,Albury,43.6,23,0,9,13,34,12,1016.6,1012.2
2014-01-17,Albury,42.6,21.7,0,11,19,37,11,1012.7,1007.9
2014-01-18,Albury,41.2,22,0,11,30,27,15,1008.9,1006.2
2014-01-19,Albury,37.9,21.3,0,6,19,50,21,1008.1,1003.9
2014-01-20,Albury,34.2,19,0,9,11,55,25,1007.4,1004.5
2014-01-21,Albury,33.2,17.9,0,7,19,54,26,1008.6,1006.3
2014-01-22,Albury,33.3,15.8,0,20,19,43,20,1016.7,1014.7
2014-01-23,Albury,34.5,16.2,0,17,11,45,23,1020,1014.8
2014-01-24,Albury,23.4,20.1,2.8,20,15,84,86,1010.8,1006.7
2014-01-25,Albury,25.9,13.3,31,11,19,52,33,1014.3,1014.4
2014-01-26,Albury,29.4,12.4,0,11,9,53,24,1021.8,1019.5
2014-01-27,Albury,32.7,14.8,0,9,9,52,27,1021.4,1018.1
2014-01-28,Albury,36.6,16.4,0,7,11,63,22,1018.4,1013.4
2014-01-29,Albury,40.6,18.8,0,7,13,51,18,1015.2,1011.1
2014-01-30,Albury,39.7,20.6,0,9,15,49,17,1015.3,1012
2014-01-31,Albury,41.7,21.8,0,9,13,50,16,1011.8,1008.3
2014-02-01,Albury,41.6,23.2,0,7,11,51,15,1010.9,1007.4
2014-02-02,Albury,41.1,20.7,0,7,15,43,14,1010.1,1006.7
2014-02-03,Albury,40.5,20.5,0,15,13,34,17,1010.1,1006.7
2014-02-04,Albury,31.9,21,1.2,28,24,25,24,1014.3,1014.1
2014-02-05,Albury,30.9,16.7,0,11,11,45,26,1020.9,1017.2
2014-02-06,Albury,33.7,16.6,0,19,9,46,27,1018.4,1013
2014-02-07,Albury,36.8,16.7,0,7,9,57,18,1014.5,1011.4
2014-02-08,Albury,40.1,18.4,0,7,17,49,13,1014.9,1011.4
2014-02-09,Albury,42,18.8,0,7,24,31,10,1014.7,1010.4
2014-02-10,Albury,36.8,18.6,0,15,15,46,19,1015.2,1012.3
2014-02-11,Albury,36.9,13.9,0,9,19,56,17,1014.5,1010.6
2014-02-12,Albury,36.2,17,0,6,11,54,24,1013.8,1011.4
2014-02-13,Albury,31.2,21.8,0,11,13,57,39,1012.1,1009.1
2014-02-14,Albury,30.6,21.3,0,9,13,62,33,1006.1,1003.5
2014-02-15,Albury,23.1,19.2,21.8,13,13,99,98,998.9,994.8
2014-02-16,Albury,31.4,20,7,11,26,76,34,1001.4,1001.2
2014-02-17,Albury,29.9,13,0,9,7,61,33,1013,1010.4
2014-02-18,Albury,33.4,15.3,0,6,17,72,32,1010.2,1005.8
2014-02-19,Albury,32.3,18.1,0,6,30,63,31,1000.7,996.2
2014-02-20,Albury,22.8,11.6,1.6,13,24,80,30,1010.1,1011.4
